Acc.No,Acc.Date,Title,Author,Publisher,Callno,price
25841,27-04-2015,PHYSICAL METALLURGY FOR ENGINEERS,DONALD S. CLARK,EWP,669.9  CLA/PHY 1,250
25842,27-04-2015,ROBOT ANALYSIS AND CONTROL,H. ASADA,WILEY,629.892  ASA/ROB,750
25843,27-04-2015,ROBOT ANALYSIS AND CONTROL,H. ASADA,WILEY,629.892  ASA/ROB 1,750
25844,27-04-2015,CMOS LOGIC CIRCUIT DESIGN,JOHN P UYEMURA,SPRINGER,621.392  UYE/CMO 1,795
25845,27-04-2015,CMOS LOGIC CIRCUIT DESIGN,JOHN P UYEMURA,SPRINGER,621.392  UYE/CMO 2,795
25846,27-04-2015,CMOS LOGIC CIRCUIT DESIGN,JOHN P UYEMURA,SPRINGER,621.392  UYE/CMO 3,795
25847,27-04-2015,CMOS LOGIC CIRCUIT DESIGN,JOHN P UYEMURA,SPRINGER,621.392  UYE/CMO 4,795
25848,27-04-2015,CMOS LOGIC CIRCUIT DESIGN,JOHN P UYEMURA,SPRINGER,621.392  UYE/CMO 5,795
25849,27-04-2015,"DIGITAL IMAGE PROCESSING : HUMAN AND COMPUTER VISION APPLICATIONS WITH CVIPTOOLS, + CD",SCOTT E UMBAUGH,CRC PRESS,006.69  UMB/DIG,495
25850,27-04-2015,"DIGITAL IMAGE PROCESSING : HUMAN AND COMPUTER VISION APPLICATIONS WITH CVIPTOOLS, + CD",SCOTT E UMBAUGH,CRC PRESS,006.69  UMB/DIG 1,495
25851,27-04-2015,MODERN CONTROL SYSTEM,RICHARD C DORF,PEARSON,629.8  DOR/MOD 17,950
25852,27-04-2015,MODERN CONTROL SYSTEM,RICHARD C DORF,PEARSON,629.8  DOR/MOD 18,950
25853,27-04-2015,MODERN CONTROL SYSTEM,RICHARD C DORF,PEARSON,629.8  DOR/MOD 19,950
25854,27-04-2015,MODERN CONTROL SYSTEM,RICHARD C DORF,PEARSON,629.8  DOR/MOD 20,950
25855,27-04-2015,MODERN CONTROL SYSTEM,RICHARD C DORF,PEARSON,629.8  DOR/MOD 21,950
