Acc.No,Acc.Date,Title,Author,Publisher,Callno,price
8260,16-09-2006,INDUCTION AND SYNCHRONOUS MACHINES,K MURUGESH KUMAR,VIKAS,621.313 4  KUM/IND 2,225
8261,16-09-2006,CONTROL SYSTEMS ENGINEERING,SN SIVANANDAM,VIKAS,629.8  SIV/CON,210
8262,16-09-2006,CONTROL OF UNSTABLE SYSTEMS,R PADMA SREE,NAROSA,629.8  SRE/CON,350
8263,16-09-2006,NON - CONVENTIONAL ENERGY RESOURCES,DS CHAUHAN,NEW AGE,333.79  CHA/NON,120
8264,16-09-2006,HVDC POWER TRANSMISSION SYSTEMS: TECHNOLOGY AND SYSTEM INTER,KRPADIYAR,NEW AGE,621.31  PAD/HVD 3,200
8265,16-09-2006,HVDC POWER TRANSMISSION SYSTEMS: TECHNOLOGY AND SYSTEM INTER,KRPADIYAR,NEW AGE,621.31  PAD/HVD 4,200
8266,16-09-2006,ELECTROMAGNETIC FIELD THEORY AND TRANSMISSION LINES,GSN RAJU,PEARSON,530.141  RAJ/ELE,250
8267,16-09-2006,MODERN CONTROL ENGINEERING,D ROY CHOUDHURY,PHI,629.8  CHO/MOD,350
8268,16-09-2006,SENSORS AND TRANSDUCERS,D PATRANABIS,PHI,621.381 54  PAT/SEN 3,250
8269,16-09-2006,SENSORS AND TRANSDUCERS,D PATRANABIS,PHI,621.381 54  PAT/SEN 4,250
8270,16-09-2006,AUTOMATIC CONTROL SYSTEMS,SYED HASAN SAEED,SKKATARIA,629.8  SAE/AUT3,195
8271,16-09-2006,AUTOMATIC CONTROL SYSTEMS,SYED HASAN SAEED,SKKATARIA,629.8  SAE/AUT4,195
8272,16-09-2006,AUTOMATIC CONTROL SYSTEMS,SYED HASAN SAEED,SKKATARIA,629.8  SAE/AUT 5,195
8273,16-09-2006,SCHAUMS OUTLINE OF THEORY AND PROBLEMS OF BASIC ELECTRICAL E,JIMMIE J CATHEY ,TMH,621.3  CAT/SCH 4,199
8274,16-09-2006,HANDBOOK OF ELECTRICAL MOTOR CONTROL SYSTEMS,US ESWAR,TMH,629.8  ESW/HAN,165
8275,16-09-2006,BASIC ELECTRICAL ENGINEERING,VN MITTLE,TMH,621.3 MIT/BAS 5,265
8276,16-09-2006,POWER SYSTEM PROTECTION STATIC RELAYS WITH MICROPROCESSOR APPLICATIONS,TS MADHAVA RAO,TMH,621.319  RAO/POW,325
8277,16-09-2006,POWER SYSTEM PROTECTION STATIC RELAYS WITH MICROPROCESSOR AP,TS MADHAVA RAO,TMH,621.319  RAO/POW 1,325
8278,16-09-2006,POWER SYSTEM PROTECTION STATIC RELAYS WITH MICROPROCESSOR AP,TS MADHAVA RAO,TMH,621.319  RAO/POW 2,325
8279,16-09-2006,POWER SYSTEM PROTECTION STATIC RELAYS WITH MICROPROCESSOR AP,TS MADHAVA RAO,TMH,621.319  RAO/POW 3,325
8280,16-09-2006,SERIES ON ELECTRICAL POWER CAPACITORS REACTIVE POWER MANAGEMENT,DM TAGORE,TMH,621  TAG/REA,495
8281,16-09-2006,ELECTRICAL MACHINERY,PS BIMBHRA,KHANNA,621.313  BIM/ELE 2,250
8282,16-09-2006,ELECTRICAL MACHINERY,PS BIMBHRA,KHANNA,621.313  BIM/ELE 3,250
8283,16-09-2006,ELECTRICAL MACHINERY,PS BIMBHRA,KHANNA,621.313  BIM/ELE 4,250
8284,16-09-2006,ELECTRICAL MACHINERY,PS BIMBHRA,KHANNA,621.313  BIM/ELE 5,250
8285,18-09-2006,DIGITAL CONTROL & STATE VARIABLE METHODS,M GOPAL,TMH,629.8  GOP/DIG 3,325
8286,18-09-2006,DIGITAL CONTROL & STATE VARIABLE METHODS,M GOPAL,TMH,629.8  GOP/DIG 4,325
8287,18-09-2006,INTRODUCTION TO ELECTRIC CIRCUITS,RICHARD C DORF,JOHN WILEY,621.381 5  DOR/INT,406.3
8288,18-09-2006,THEORY AND PROBLEMS OF BASIC ELECTRICAL ENGINEERING,DP KOTHARI ,PHI,621.3  KOT/THE 3,275
8289,18-09-2006,GENERALIZED THEORY OF ELECTRICAL MACHINES,PS BIMBHRA,KHANNA,621.313  BIM/GEN,195
8290,18-09-2006,GENERALIZED THEORY OF ELECTRICAL MACHINES,PS BIMBHRA,KHANNA,621.313  BIM/GEN 1,195
8291,18-09-2006,"ELECTRIC MACHINES : EXTRACTS, EXAMPLES, EXERCISES, QUESTIONS",K MURUGESH KUMAR,VIKAS,621.313  MUR/ELE,300
8292,18-09-2006,TRANSDUCERS FOR INSTRUMENTATION,MG JOSHI,LAXMI,621.381 54  JOS/TRA 5,70
8293,18-09-2006,"PROJECTS-PLANNING,ANALYSIS,SELECTION,FINANCING,IMPLEMENTATIO",PRASANNA CHANDRA,TMH,658.404  CHA/PRO 7,395
8294,18-09-2006,NETWORK THEORY : ANALYSIS AND SYNTHESIS,SMARAJIT GHOSH,PHI,621.319 2  GHO/NET 1,395
8295,18-09-2006,CONTROL SYSTEMS ENGINEERING,SK BHATTACHARYA,PEARSON EDUCATION,629.8  BHA/CON,225
8296,18-09-2006,CONTROL SYSTEMS ENGINEERING,SK BHATTACHARYA,PEARSON EDUCATION,629.8  BHA/CON 1,225
8297,18-09-2006,CONTROL SYSTEMS ENGINEERING,SK BHATTACHARYA,PEARSON EDUCATION,629.8  BHA/CON 2,225
8298,18-09-2006,AUTOMOTIVE ELECTRICAL EQUIPMENT,PL KOHLI,TMH,629.27  KOH/AUT 1,185
8299,18-09-2006,MODERN ELECTRONIC INSTRUMENTATION AND MEASUREMENT TECHNIQUES,ALBERT D HELFRICK ,PHI,621.381 54  HEL/MOD 6,195
8300,18-09-2006,MODERN ELECTRONIC INSTRUMENTATION AND MEASUREMENT TECHNIQUES,ALBERT D HELFRICK ,PHI,621.381 54  HEL/MOD 7,195
8301,18-09-2006,A COURSE IN ELECTRICAL POWER,JB GUPTA,SK KATARIA,621.31  GUP/COU 8,450
8302,18-09-2006,A COURSE IN ELECTRICAL POWER,JB GUPTA,SK KATARIA,621.31  GUP/COU 9,450
8303,18-09-2006,A COURSE IN ELECTRICAL POWER,JB GUPTA,SK KATARIA,621.31  GUP/COU 10,450
8304,18-09-2006,A COURSE IN ELECTRICAL POWER,JB GUPTA,SK KATARIA,621.31  GUP/COU 11,450
8305,18-09-2006,A COURSE IN ELECTRICAL POWER,JB GUPTA,SK KATARIA,621.31  GUP/COU 12,450
8306,25-09-2006,ULTIMATE VISUAL DICTIONARY,DORLING KINDERSLEY,Dorling Kinderley,032  DOR/DKU 1,1440
8307,03-10-2006,A TEXT BOOK OF INSTRUMENTATION AND CONTROL,D PATRANABIS,UMESH,621.381 54  PAT/TEX,150
8308,03-10-2006,A TEXT BOOK OF INSTRUMENTATION AND CONTROL,D PATRANABIS,UMESH,621.381 54  PAT/TEX 1,150
8309,03-10-2006,ELEMENTS OF ELECTRICAL ENGINEERING AND ELECTRONICS,DURGESH C KULSHRESHTHA,UMESH,621.3  KUL/ELE,95
8310,03-10-2006,ELEMENTS OF ELECTRICAL ENGINEERING AND ELECTRONICS,DURGESH C KULSHRESHTHA,UMESH,621.3  KUL/ELE 1,95
8311,03-10-2006,FUNDAMENTALS OF ELECTRICAL TECHNOLOGY,NK JAIN,UMESH,621.3  JAI/FUN,150
8312,03-10-2006,FUNDAMENTALS OF ELECTRICAL TECHNOLOGY,NK JAIN,UMESH,621.3  JAI/FUN 1,150
8313,03-10-2006,LINEAR CONTROL SYSTEMS,RS CHAUHAN,UMESH,629.8  CHA/LIN,145
8314,03-10-2006,LINEAR CONTROL SYSTEMS,RS CHAUHAN,UMESH,629.8  CHA/LIN 1,145
8315,03-10-2006,SWITCHGEAR AND PROTECTION,AS INGOLE,UMESH,621.319  ING/SWI,225
8316,03-10-2006,SWITCHGEAR AND PROTECTION,AS INGOLE,UMESH,621.319  ING/SWI 1,225
8317,03-10-2006,FUNDAMENTALS OF POWER ELECTRONICS,FAROOQ HUSAIN,UMESH,621.313  HUS/FUN,145
8318,03-10-2006,FUNDAMENTALS OF POWER ELECTRONICS,FAROOQ HUSAIN,UMESH,621.313  HUS/FUN 1,145
8319,04-10-2006,AUTOMOBILE ENGINEERING VOL1,KM GUPTA,UMESH,629.2  GUP/AUT I,185
8320,04-10-2006,AUTOMOBILE ENGINEERING VOL 2,KM GUPTA,UMESH,629.2  GUP/AUT II,195
8321,04-10-2006,AN INTEGRATED COURSE IN ELECTRICAL ENGINEERING,ASHOK RAJ,UMESH,621.3  RAJ/INT,135
8322,04-10-2006,AN INTEGRATED COURSE IN ELECTRICAL ENGINEERING,ASHOK RAJ,UMESH,621.3  RAJ/INT 1,135
8323,04-10-2006,ELECTROMAGNETIC FIELD THEORY,RC SARASWAT,UMESH,530.141  SAR/ELE,85
8324,04-10-2006,ELECTROMAGNETIC FIELD THEORY,RC SARASWAT,UMESH,530.141  SAR/ELE 1,85
8325,04-10-2006,ELECTRICAL MACHINES LAB MANUAL,ELECTRICAL ,MACE,621.3  MAC/ELE,85
8326,04-10-2006,ELECTRICAL MACHINES LAB MANUAL,ELECTRICAL ,MACE,621.3  MAC/ELE 1,85
8327,04-10-2006,BASIC ELECTRICAL AND MEASUREMENTS LAB MANUAL,ELECTRICAL ,MACE,621.37  MAC/BAS,85
8328,04-10-2006,BASIC ELECTRICAL AND MEASUREMENTS LAB MANUAL,ELECTRICAL ,MACE,621.37  MAC/BAS 1,85
8329,04-10-2006,ELECTRIC MACHINERY AND TRANSFORMERS,BHAG S GURU,OXFORD,621.313  GUR/ELE,325
8330,04-10-2006,"STEPPER MOTORS : FUNDAMENTALS, APPLICATIONS AND DESIGN",VV ATHANI,NEW AGE,621.313 2  ATH/STE,595
8331,04-10-2006,CONTROL ENGINEERING : A COMPREHENSIVE FOUNDATION,A RAMAKALYAN,VIKAS,629.8  RAM/CON,325
8332,04-10-2006,ELECTRIC CIRCUIT ANALYSIS,SP EUGENE XAVIER,NEW AGE,621.381 5  XAV/ELE,225
8333,04-10-2006,ELECTRO-MECHANICAL ENERGY CONVERSION WITH DYNAMICS OF MACHIN,RAKOSH DAS BEGAMUDRE,NEW AGE,621.312 4  BEG/ELE 1,295
8334,04-10-2006,ELECTRO-MECHANICAL ENERGY CONVERSION WITH DYNAMICS OF MACHIN,RAKOSH DAS BEGAMUDRE,NEW AGE,621.312 4  BEG/ELE 2,295
8335,04-10-2006,ELECTRIC CIRCUIT ANALYSIS,SP EUGENE XAVIER,NEW AGE,621.384 12  XAV/ELE 1,225
8336,04-10-2006,MATERIALS SCIENCE AND MANUFACTURING PROCESSES,DHARMENDRA KUMAR,VIKAS,620.11  KUM/MAT 2,150
8337,04-10-2006,TOTAL QUALITY MANAGEMENT,DALE H BESTERFIELD,PEARSON EDUCATION,658.562  BES/TOT 6,350
8338,04-10-2006,ANALYSIS AND DESIGN OF CONTROL SYSTEMS USING MATLAB,RAO V DUKKIPATI,NEW AGE,629.8  DUK/ANA,245
8339,04-10-2006,AN INTRODUCTION TO HIGH VOLTAGE ENGINEERING,SUBIR RAY,PHI,621.372  RAY/INT,195
8340,04-10-2006,CONTROL ENGINEERING : THEORY AND PRACTICE,MN BANDYOPADHYAY,PHI,629.8  BAN/CON,275
8341,04-10-2006,CONTROL ENGINEERING : THEORY AND PRACTICE,MN BANDYOPADHYAY,PHI,629.8  BAN/CON 1,275
8342,04-10-2006,TRANSDUCERS AND INSTRUMENTATION,DVS MURTY,PHI,621.381 54  MUR/TRA  10,325
8343,04-10-2006,TRANSDUCERS AND INSTRUMENTATION,DVS MURTY,PHI,621.381 54  MUR/TRA  11,325
8344,10-10-2006,TOTAL QUALITY MANAGEMENT,KC ARORA,SKKATARIA,658.562  ARO/TOT,275
8345,10-10-2006,CONTROL SYSTEMS THEORY AND APPLICATIONS,SMARAJIT GHOSH,PEARSON,629.8  GHO/CON,250
8346,10-10-2006,ELECTROMAGNETICS FOR ENGINEERS + CD,FAWWAZ T ULABY,PEARSON,530.141  ULA/ELE,250
8347,06-11-2006,CONTROL SYSTEMS ENGINEERING,R ANANDA NATARAJAN,SCITECH,629.8  NAT/CON,285
8348,16-11-2006,"ISO 9000 TO OHAS 18001: ISO 9000(2000),ISO 10006, 11,12,13,ISO 14000, SA 8000,ISO 2859, ISO 16949, OHSAS 18001,SIX SIGMA,ETC",KC ARORA,SK KATARIA,650  ARO/ISO,595
8349,16-11-2006,ELECTRICAL DRIVES AND CONTROL,JGNANAVADIVEL,ANURADHA,621.46  GNA/ELE,100
8350,16-11-2006,A LABORATORY MANUAL # OBSERVATION IN ELECTRICAL MACHINES - I,PANNEER SELVAM G,ANURADHA,621.313  SEL/LAB,150
8351,16-11-2006,ELECTRICAL MACHINES,J GNANAVADIVEL,ANURADHA,621.313  GNA/ELE,140
8352,16-11-2006,ELECTRICAL MACHINES,J GNANAVADIVEL,ANURADHA,621.313  GNA/ELE 1,140
8353,16-11-2006,ELECTRICAL MACHINES - I,J GNANAVADIVEL,ANURADHA,621.313  GNA/ELE I,145
8354,16-11-2006,ELECTRICAL MACHINES - I,J GNANAVADIVEL,ANURADHA,621.313  GNA/ELE I.1,145
8355,16-11-2006,A LABORATORY MANUAL # OBSERVATION IN ALTERNATING CURRENT MACHINES,PANEER SELVAM G,ANURADHA,621.313 3  SEL/LAB,160
8356,16-11-2006,HAND BOOK OF PROPERTIES OF ENGINEERING MATERIALS AND DESIGN DATA FOR MACHINE ELEMENTS,ABDULLA SHARIFF,DHANPAT RAI,621.815  SHA/HAN,240
8357,16-11-2006,HAND BOOK OF PROPERTIES OF ENGINEERING MATERIALS AND DESIGN,ABDULLA SHARIFF,DHANPAT RAI,621.815  SHA/HAN 1,240
8358,16-11-2006,HAND BOOK OF PROPERTIES OF ENGINEERING MATERIALS AND DESIGN,ABDULLA SHARIFF,DHANPAT RAI,621.815  SHA/HAN 2,240
8359,16-11-2006,HAND BOOK OF PROPERTIES OF ENGINEERING MATERIALS AND DESIGN,ABDULLA SHARIFF,DHANPAT RAI,621.815  SHA/HAN 3,240
8360,16-11-2006,HAND BOOK OF PROPERTIES OF ENGINEERING MATERIALS AND DESIGN,ABDULLA SHARIFF,DHANPAT RAI,621.815  SHA/HAN 4,240
8361,16-11-2006,HAND BOOK OF PROPERTIES OF ENGINEERING MATERIALS AND DESIGN,ABDULLA SHARIFF,DHANPAT RAI,621.815  SHA/HAN 5,240
8362,16-11-2006,HAND BOOK OF PROPERTIES OF ENGINEERING MATERIALS AND DESIGN,ABDULLA SHARIFF,DHANPAT RAI,621.815  SHA/HAN 6,240
8363,16-11-2006,HAND BOOK OF PROPERTIES OF ENGINEERING MATERIALS AND DESIGN,ABDULLA SHARIFF,DHANPAT RAI,621.815  SHA/HAN 7,240
8364,16-11-2006,HAND BOOK OF PROPERTIES OF ENGINEERING MATERIALS AND DESIGN,ABDULLA SHARIFF,DHANPAT RAI,621.815  SHA/HAN 8,240
8365,16-11-2006,HAND BOOK OF PROPERTIES OF ENGINEERING MATERIALS AND DESIGN,ABDULLA SHARIFF,DHANPAT RAI,621.815  SHA/HAN 9,240
8366,18-11-2006,NANOTECHNOLOGY,RICHARD BOOKER,WILEY-DREAMTECH,620.522  BOO/NAN,299
8367,18-11-2006,ELECTRONIC COMMUNICATION SYSTEMS,GEORGE KENNEDY ,TMH,621.382  KEN/ELE 27,295
8368,18-11-2006,"JAVA : THE COMPLETE REFERNCE, J2SE",HERBERT SCHILDT,TMH,005.133 J2SE  SCH/JAV,425
8369,18-11-2006,LET US C,YASHAVANT KANETKAR,BPB,005.133 C  KAN/LET 10,198
8370,18-11-2006,OPERATING SYSTEM CONCEPTS,ABRAHAM SILBERSCHATZ,JW,005.43  SIL/OPE 22,335
8371,18-11-2006,COMPUTER ARCHITECTURE AND PARALLEL PROCESSING,KAI HWANG,MH,004.22  HWA/COM 18,333.6
8372,30-11-2006,GROBS BASIC ELECTRONICS,MITCHEL E SCHULTZ,TMH,621.3  SCH/GRO,525
8373,30-11-2006,GROBS BASIC ELECTRONICS,MITCHEL E SCHULTZ,TMH,621.3  SCH/GRO 1,525
8374,04-12-2006,ELEMENTS OF NUMBER THEORY,JOHN STILLWELL,SPRINGER,512.7  STI/ELE,295
8375,04-12-2006,GRAPH THEORY,REINHARD DIESTEL,SPRINGER,511.5  DIE/GRA,245
8376,04-12-2006,FUNDAMENTALS OF DATABASE SYSTEMS,RAMEZ ELMASRI,PEARSON EDUCATION,005.74  ELM/FUN 7,350
8377,04-12-2006,NANOTECHNOLOGY,MORRIS SYLVIN,SARUP & SONS,620.522  SYL/NAN,750
8378,04-12-2006,"COMPUTR NETWORKS: PRINCIPLES, TECHNOLOGIES AND PROTOCOLS FOR NETWORK DESIGN",NATALIA OLIFER AND VICTOR OLIFER,WILEY,004.65  OLI/COM,495
8379,04-12-2006,SCHAUMS OUTLINE OF THEORY AND PROBLEMS OF ANALOG AND DIGITAL,HWEI P HSU,TMH,621.38  HSU/SCH1,199
8380,04-12-2006,ELECTRONIC DEVICES AND CIRCUITS,DAVID A BELL,PHI,621.381 5  BEL/ELE 4,350
8381,04-12-2006,DIGITAL LOGIC AND COMPUTER ORGANIZATION,V RAJARAMAN,PHI,004.11  RAJ/DIG,295
8382,28-12-2006,THE ELEMENTS OF POLYMER SCIENCE AND ENGINEERING,ALFRED RUDIN,ACADEMIC PRESS,547.7  RUD/ELE,395
8383,28-12-2006,PLASTICS MATERIALS,JA BRYDSON,BUTTERWORTH-HEINEMANN,668.418  BRY/PLA,2995
8384,28-12-2006,MATHEMATICAL TEHNIQUES,DW JORDAN,OXFORD,510.246  JOR/MAT,395
8385,28-12-2006,THE 8051 MICROCONTROLLER AND EMBEDDED SYSTEMS USING ASSEMBLY AND C,MUHAMMAD ALI MAZIDI,PHI,004.162  MAZ/MIC 11,350
8386,28-12-2006,DIGITAL CIRCUITS AND DESIGN,S SALIVAHANAN,VIKAS PUB,621.39  SAL/DIG 1,200
8387,28-12-2006,OPTIMIZATION METHODS IN OPERATIONS RESEARCH AND SYSTMS ANALYSIS,KV MITAL,NEW AGE,510.72  MIT/OPT,195
8388,28-12-2006,MATHEMATICS AND ITS HISTORY,JOHN STILLWELL,SPRINGER,510.921  STI/MAT,695
8389,28-12-2006,DISCRETE MATHEMATICS,JK SHARMA,MACMILLAN,511  SHA/DIS,265
8390,28-12-2006,WATER TECHNOLOGY: AN INTRODUCTION FOR ENVIRONMENTAL SCIENTISTS AND ENGINEERS,NF GRAY,BUTTERWORTH-HEINEMANN,628.3  GRA/WAT,550
8391,28-12-2006,DATA COMMUNICATIONS AND NETWORKING,BEHROUZ A FOROUZAN,TMH,005.71  FOR/DAT 3,325
8392,28-12-2006,SCHAUMS OUTLINE OF THEORY AND PROBLEMS OF OPERATIONS RESEARCH,RICHARD BRONSON,TMH,510.72  BRO/SCH 1,225
8393,28-12-2006,"MICROCONTROLLERS : ARCHITECTURE,PROGRAMMING,INTERFACING AND SYSTEM DESIGN",RAJ KAMAL,PEARSON,004.162  RAJ/MIC,295
8394,28-12-2006,MICROCONTROLLERS: THEORY AND APPLICATIONS,AJAY V DESHMUKH,TMH,004.162  DES/MIC,225
8395,28-12-2006,THE ESSENTIALS OF COMPUTER ORGANIZATION AND ARCHITECTURE,LINDA NULL,NAROSA,004.2  NUL/ESS,295
8396,28-12-2006,DISCRETE MATHEMATICS WITH GRAPH THEORY,EDGAR G GOODAIRE,PHI,511  GOO/DIS 1,275
8397,28-12-2006,PLASTICS DESIGN HANDBOOK,DOMINICK V ROSATO,SPRINGER,620.192 3  ROS/PLA,2495
8398,28-12-2006,SCHAUMS OUTLINE OF THEORY AND PROBLEMS OF NUMERICAL ANALYSIS,FRANCIS SCHEID,TMH,519.4  SCH/SCH,260
8399,02-01-2007,"INTRODUCTION TO ROBOTICS : ANALYSIS, SYSTEMS, APPLICATIONS",SAEED B NIKU,PHI,629.892  NIK/INT,250
8400,02-01-2007,STRENGTH OF MATERIALS,WILLIAM A NASH,TMH,620.112  NAS/STR,260
8401,02-01-2007,STRENGTH OF MATERIALS,WILLIAM A NASH,TMH,620.112  NAS/STR 1,260
8402,02-01-2007,CONTROL SYSTEMS ENGINEERING,IJ NAGRATH,NEW AGE,629.8  NAG/CON 8,345
8403,02-01-2007,MATERIALS SELECTION IN MECHANICAL DESIGN,MICHAEL F ASHBY,BUTTERWORTH-HENEMANN,620.11  ASH/MAT,395
8404,02-01-2007,STRENGTH OF MATERIALS,GH RYDER,MACMILLAN,620.112  RYD/STR,198
8405,02-01-2007,MARKETING ENGINEERING,GARY L LILIEN,PEARSON EDUCATION,658.5  LIL/MAR,295
8406,02-01-2007,STRENGTH OF MATERIALS : ADVANCED THEORY AND PROBLEMS PART II,S TIMOSHENKO,CBS,620.112  TIM/STR,135
8407,02-01-2007,FUNDAMENTALS OF FLIGHT,RICHARD S SHEVELL,PEARSON EDUCATION,629.132 319  SHE/FUN,295
8408,02-01-2007,MECHANICAL VIBRATIONS AND NOISE ENGINEERING,AG AMBEKAR,PHI,620.3  AMB/MEC,325
8409,02-01-2007,FUNDAMENTALS OF DESIGN AND MANUFACTURING,RK RAJPUT,BIRLA,621.815  RAJ/FUN,300
8410,02-01-2007,"KINEMATICS, DYNAMICS, AND DESIGN OF MACHINERY +CD",KJ WALDRON,WILEY,621.811  WAL/KIN,496.65
8411,02-01-2007,FUNDAMENTALS OF MODELING AND ANALYZING ENGINEERING SYSTEMS,PHILIP D CHA,CAMBRIDGE UNIVERSITY,620.001 1  CHA/FUN,495
8412,02-01-2007,HEAT AND MASS TRANSFER DATA BOOK,CP KOTHANDARAMAN,NEW AGE,621.402 2  KOT/HEA,100
8413,02-01-2007,HEAT AND MASS TRANSFER,RK RAJPUT,SCHAND,621.402 2  RAJ/HEA 2,375
8414,02-01-2007,WORKSHOP TECHNOLOGY : MANUFACTURING PROCESSES,SK GARG,LAXMI,621.9  GAR/WOR,195
8415,02-01-2007,"ENGINEERING MATERIALS : POLIMERS, CERAMICS AND COMPOSITES",AK BHARGAVA,PHI,620.11  BHA/ENG,250
8416,02-01-2007,HEAT AND MASS TRANSFER,SHYAM K AGRAWAL,VIVA BOOKS,621.402 2  AGR/HEA,295
8417,02-01-2007,DESIGN DATA HAND BOOK FOR MECHANICAL ENGINEERS,K MAHADEVAN,CBS,621.815  MAH/DES 3,250
8418,02-01-2007,THEORY OF ELASTICITY,SP TIMOSHENKO,MH,620.112 32  TIM/THE 2,754.43
8419,02-01-2007,ENGINEERING MECHANICS,S TIMOSHENKO ,MH,620.1  TIM/ENG 2,295
8420,02-01-2007,BOILER OPERATION ENGINEERING: QUESTION AND ANSWERS,P CHATTOPADHYAY,TMH,621.183 076  CHA/BOI,825
8421,02-01-2007,ROBOTICS TECHNOLOGY AND FLEXIBLE AUTOMATION,SATYA RANJAN DEB,TMH,629.892  DEB/ROB,295
8422,02-01-2007,AUTOMOTIVE ENGINES,WILLIAM H CROUSE ,GLENCOE,629.25  CRO/AUT,827.75
8423,02-01-2007,AUTOMOBILE ENGINEERING,RB GUPTA,SATYA PRAKASHAN,629.2  GUP/AUT,250
8424,02-01-2007,MECHANICS OF MACHINES,V RAMAMURTI,NAROSA,621.8  RAM/MEC 1,295
8425,02-01-2007,PERRYS CHEMICAL ENGINEERS HANDBOOK,ROBERT H PERRY ED,MH,660  PER/PER,2838
8426,02-01-2007,MECHATRONICS,HMT,TMH,621  HMT/MEC 1,245
8427,02-01-2007,MECHATRONICS,HMT,TMH,621  HMT/MEC 2,245
8428,02-01-2007,MATERIAL SCIENCE AND ENGINEERING,HS BAWA,BIRLA,620.11  BAW/MAT,175
8429,02-01-2007,AIRCRAFT ENGINEERING PRINCIPLES,LIOYD DINGLE,BUTTERWORTH-HEINEMANN,629.122  DIN/AIR,595
8430,02-01-2007,METAL CUTTING,EDWARD M TRENT,BUTTERWORTH-HEINEMANN,671.5  TRE/MET,395
8431,02-01-2007,INDUSTRIAL PROCESS CONTROL SYSTEMS,DALE R PATRICK ,THOMSON,670.427  PAT/IND,575
8432,02-01-2007,2500 SOLVED PROBLEMS IN FLUID MECHANICS AND HYDRAULICS,JACK B EVETT,TMH,620.106  EVE/TWO,295
8433,02-01-2007,DESIGN OF MACHINE ELEMENTS,CS SHARMA,PHI,621.815  SHA/DES,295
8434,02-01-2007,THEORY OF VIBRATION WITH APPLICATIONS,WILLIAM T THOMSON,PEARSON EDUCATION,620.3  THO/THE,225
8435,02-01-2007,"PRODUCT AND PROCESS DESIGN PRINCIPLES : SYNTHESIS, ANALYSIS AND EVALUATION",WARREN DSEIDER,WILEY,660.281 2  SEI/PRO,591.25
8436,02-01-2007,FACILITIES PLANNING,JAMES A TOMPKINS,JOHN WILEY,725.418  TOM/FAC,354.75
8437,02-01-2007,INTRODUCTION TO MECHATRONICS AND MEASUREMENT SYSTEMS,DAVID G ALCIATORE,TMH,621  HIS/INT 1,299
8438,02-01-2007,INTRODUCTION TO FLIGHT,JOHN D ANDERSON,MGH,629.118  AND/INT,1180.13
8439,02-01-2007,OPERATIONS RESEARCH : PRINCIPLES AND PRACTICE,A RAVINDRAN,JOHN WILEY,510.72  RAV/OPE 1,328.74
8440,03-01-2007,THERMODYNAMICS :FUNDAMENTALS FOR APPLICATIONS,JP OCONNELL,CAMBRIDGE,621.402 1  OCO/THE,495
8441,03-01-2007,"AUDEL HVAC FUNDAMENTALS : HEATING SYSTEM COMPONENTS, GAS AND OIL BURNERS, AND AUTOMATIC CONTROLS",JAMES E BRUMBAUGH,WILEY,697.22  BRU/AUD,329
8442,03-01-2007,"ENGINEERING GRAPHICS : UNIQUE METHODS, EASY SOLUTIONS +CD",KN ANILKUMAR,ADHYUTH NARAYAN,604.2  ANI/ENG,260
8443,03-01-2007,INTRODUCTION TO COMPUTATIONAL FLUID DYNAMICS,ANIL W DATE,CAMBRIDGE,620.106 4  DAT/INT,395
8444,03-01-2007,DESIGN OF MACHINERY : AN INTRODUCTION TO THE SYNTHESIS AND ANALYSIS OF MECHANISMS AND MACHINES,ROBERT L NORTON,TMH,621.815  NOR/DES,365
8445,03-01-2007,THERMAL SCIENCE DATA BOOK,BT NIJAGUNA,TMH,621.402  NIJ/THE,425
8446,03-01-2007,"GSM, CDMAONE AND 3G SYSTEMS",RAYMOND STEELE,JOHN WILEY,621.384 521  STE/GSM,260.15
8447,03-01-2007,MULTIMEDIA SYSTEMS WITH 172 FIGURES,RALF STEINMETZ,SPRINER,006.7  STE/MUL,425
8448,03-01-2007,MULTIMEDIA SYSTEMS WITH 172 FIGURES,RALF STEINMETZ,SPRINER,006.7  STE/MUL 1,425
8449,03-01-2007,"INFORMATION THEORY,CODING AND CRYPTOGRAPHY",RANJAN BOSE,TMH,004.6  BOS/INF 5,215
8450,03-01-2007,PASSIVE AND ACTIVE FILTERS : THEORY AND IMPLEMENTATIONS,WAI-KAI CHEN,JOHN WILEY,621.3815   CHE/PAS,316.91
8451,03-01-2007,FIELDS AND WAVES IN COMMUNICATION ELECTRONICS,SIMON RAMO ,JOHN WILEY,530.141  RAM/FIE 1,283.8
8452,03-01-2007,SIGNALS AND SYSTEMS,SIMON HAYKIN ,JOHN WILEY,621.380 431  HAY/SIG 8,373.67
8453,03-01-2007,COMMUNICATION SYSTEMS ENGINEERING,JOHN G PROAKIS,PEARSON EDUCATION,621.382  PRO/COM 4,325
8454,03-01-2007,MICROPROCESSORS & MICROCONTROLLERS,A NAGOOR KANI,RBA,004.16  KAN/MIC 1,295
8455,03-01-2007,MICROPROCESSORS & MICROCONTROLLERS,A NAGOOR KANI,RBA,004.16  KAN/MIC 2,295
8456,03-01-2007,DIGITAL COMMUNICATION,JOHN R BARRY,SPRINGER,621.38  BAR/DIG,395
8457,03-01-2007,DIGITAL COMMUNICATIONS : INCLUDING LAB WORK,M KULKARNI,UMESH,621.38  KUL/DIG,165
